"symbiont","host"
"S4","H3"
"S4","H4"
"S4","H5"
"S8","H1"
"S8","H2"
"S8","H4"
"S8","H6"
"S8","H7"
"S8","H8"
"S9","H3"
"S9","H5"
"S11","H1"
"S11","H2"
"S11","H3"
"S11","H4"
"S11","H5"
"S11","H6"
"S12","H8"
"S13","H1"
"S13","H2"
"S13","H3"
"S13","H4"
"S13","H5"
"S13","H6"
"S14","H1"
"S15","H1"
"S17","H3"
"S17","H4"
"S17","H5"
"S18","H3"
"S18","H4"
"S18","H5"
"S19","H1"
"S19","H2"
"S19","H3"
"S19","H4"
"S19","H5"
"S19","H6"
"S19","H8"
"S20","H1"
"S20","H2"
"S20","H3"
"S20","H4"
"S20","H5"
"S20","H6"
"S20","H8"
