"symbiont","host"
"S7","H14"
"S13","H5"
"S13","H14"
"S15","H7"
"S15","H8"
"S15","H13"
"S19","H10"
"S19","H11"
"S19","H17"
"S20","H7"
"S20","H12"
"S20","H13"
"S20","H14"
"S20","H15"
"S21","H5"
"S21","H6"
"S22","H5"
"S22","H6"
"S24","H7"
"S24","H12"
"S24","H13"
"S24","H14"
"S25","H5"
"S25","H10"
"S25","H11"
"S27","H7"
"S27","H8"
"S27","H14"
"S28","H7"
"S28","H8"
"S28","H15"
"S30","H8"
"S30","H12"
"S30","H13"
"S30","H14"
"S30","H15"
"S31","H5"
"S31","H8"
"S31","H12"
"S31","H13"
"S31","H14"
"S32","H5"
"S32","H6"
"S32","H14"
"S32","H15"
"S34","H7"
"S34","H8"
"S35","H5"
"S35","H7"
"S35","H8"
"S36","H6"
"S36","H7"
"S37","H5"
"S39","H7"
"S39","H8"
"S39","H14"
"S39","H15"
"S40","H6"
"S41","H7"
"S41","H8"
"S41","H15"
"S42","H5"
"S42","H7"
"S42","H8"
"S42","H15"
"S43","H5"
"S44","H6"
"S45","H5"
"S45","H6"
"S45","H7"
"S45","H12"
"S45","H13"
"S45","H15"
"S46","H5"
"S46","H6"
"S46","H7"
"S46","H12"
"S46","H13"
"S46","H15"
"S48","H5"
"S48","H6"
"S48","H7"
"S48","H8"
"S48","H14"
"S48","H15"
"S49","H5"
"S49","H6"
"S49","H7"
"S49","H8"
"S49","H13"
"S50","H6"
"S50","H10"
"S50","H11"
"S50","H14"
"S50","H15"
"S50","H17"
"S51","H6"
"S51","H10"
"S51","H11"
"S51","H14"
"S51","H15"
"S51","H17"
"S52","H5"
"S52","H6"
"S52","H7"
"S52","H8"
"S52","H13"
"S53","H5"
"S53","H6"
"S53","H7"
"S53","H8"
"S53","H13"
