"symbiont","host"
"S4","H10"
"S4","H11"
"S5","H10"
"S5","H11"
"S6","H5"
"S6","H6"
"S6","H7"
"S7","H5"
"S7","H7"
"S8","H5"
"S8","H7"
"S11","H2"
"S11","H5"
"S11","H9"
"S13","H10"
"S13","H11"
"S14","H10"
"S15","H3"
"S16","H5"
"S16","H7"
"S17","H3"
"S17","H5"
"S17","H7"
"S19","H3"
"S20","H14"
"S20","H15"
"S21","H3"
"S21","H14"
"S21","H15"
"S22","H3"
"S22","H14"
"S22","H15"
"S23","H5"
"S23","H6"
"S23","H7"
"S23","H10"
"S24","H3"
"S25","H3"
"S26","H3"
"S27","H3"
"S27","H10"
"S27","H11"
"S28","H3"
"S28","H10"
"S28","H11"
