"symbiont","host"
"S5","H9"
"S5","H10"
"S8","H7"
"S10","H2"
"S10","H7"
"S11","H5"
"S11","H6"
"S11","H7"
"S11","H11"
"S11","H12"
"S11","H15"
"S11","H16"
"S12","H5"
"S12","H6"
"S12","H7"
"S12","H10"
"S12","H12"
"S13","H6"
"S13","H7"
"S13","H9"
"S13","H10"
"S15","H2"
"S15","H7"
"S18","H7"
"S20","H2"
"S21","H7"
"S21","H9"
"S21","H10"
"S22","H2"
"S22","H7"
"S22","H9"
"S22","H10"
"S23","H7"
"S23","H9"
"S23","H10"
"S24","H7"
"S24","H10"
"S24","H14"
"S25","H2"
"S25","H7"
"S25","H9"
"S25","H10"
"S26","H2"
"S26","H7"
"S26","H9"
"S27","H2"
"S28","H4"
"S29","H4"
