"symbiont","host"
"S6","H1"
"S6","H4"
"S6","H5"
"S6","H6"
"S6","H8"
"S9","H1"
"S9","H7"
"S9","H9"
"S9","H13"
"S10","H1"
"S10","H5"
"S10","H6"
"S11","H1"
"S11","H5"
"S11","H6"
"S12","H1"
"S12","H6"
"S13","H3"
"S13","H5"
"S13","H6"
"S13","H8"
"S14","H3"
"S14","H5"
"S14","H6"
"S14","H8"
"S15","H1"
"S15","H3"
"S15","H4"
"S15","H10"
"S15","H11"
"S16","H1"
"S16","H3"
"S16","H4"
"S16","H10"
"S16","H11"
"S17","H1"
"S17","H3"
"S17","H4"
"S17","H10"
"S17","H11"
"S18","H1"
"S18","H3"
"S18","H4"
"S18","H10"
"S18","H11"
