"symbiont","host"
"S5","H9"
"S9","H7"
"S10","H7"
"S12","H9"
"S15","H14"
"S16","H7"
"S16","H33"
"S17","H1"
"S19","H7"
"S19","H9"
"S20","H7"
"S20","H9"
"S21","H1"
"S23","H14"
"S24","H14"
"S24","H31"
"S26","H15"
"S27","H32"
"S29","H7"
"S29","H20"
"S29","H33"
"S29","H34"
"S30","H7"
"S30","H20"
"S30","H33"
"S33","H5"
"S33","H10"
"S34","H1"
"S34","H5"
"S34","H10"
"S35","H33"
"S35","H34"
"S37","H24"
"S39","H14"
"S40","H14"
"S42","H9"
"S43","H5"
"S43","H9"
"S46","H19"
"S46","H30"
"S47","H20"
"S48","H5"
"S49","H14"
"S49","H31"
"S50","H32"
"S51","H13"
"S51","H23"
"S51","H35"
"S52","H16"
"S52","H36"
"S52","H38"
"S53","H37"
"S54","H35"
"S54","H38"
