"symbiont","host"
"S7","H30"
"S7","H35"
"S7","H36"
"S8","H22"
"S8","H28"
"S10","H15"
"S15","H38"
"S15","H39"
"S16","H70"
"S18","H15"
"S18","H50"
"S19","H47"
"S19","H69"
"S23","H17"
"S24","H28"
"S25","H47"
"S25","H70"
"S26","H20"
"S30","H3"
"S30","H55"
"S31","H30"
"S31","H35"
"S33","H46"
"S33","H60"
"S33","H61"
"S35","H69"
"S35","H70"
"S36","H34"
"S36","H50"
"S37","H38"
"S37","H39"
"S38","H3"
"S39","H3"
"S42","H22"
"S42","H59"
"S43","H17"
"S44","H17"
"S45","H30"
"S45","H35"
"S45","H36"
"S46","H46"
"S48","H3"
"S48","H17"
"S49","H29"
"S52","H46"
"S52","H60"
"S53","H46"
"S53","H60"
"S53","H61"
"S54","H29"
"S55","H29"
"S56","H17"
"S57","H17"
"S58","H44"
"S60","H31"
"S62","H46"
"S63","H46"
"S63","H57"
"S65","H51"
"S66","H47"
"S66","H53"
"S67","H31"
"S67","H56"
"S67","H57"
"S68","H56"
"S68","H57"
"S69","H3"
"S69","H46"
"S70","H3"
"S70","H46"
"S70","H56"
"S71","H55"
"S72","H57"
"S74","H55"
"S76","H10"
"S77","H17"
"S78","H22"
"S78","H58"
"S79","H59"
"S81","H10"
"S82","H10"
"S83","H10"
"S84","H52"
"S84","H62"
"S85","H63"
"S85","H69"
"S85","H70"
"S86","H42"
"S86","H64"
"S87","H65"
"S88","H53"
"S89","H10"
"S89","H53"
"S90","H15"
"S90","H66"
"S91","H15"
"S91","H65"
"S92","H66"
"S93","H15"
"S93","H65"
"S94","H15"
"S94","H65"
