"symbiont","host"
"S22","H23"
"S22","H35"
"S22","H43"
"S23","H18"
"S23","H21"
"S23","H22"
"S23","H44"
"S25","H21"
"S25","H23"
"S25","H38"
"S26","H11"
"S26","H19"
"S28","H20"
"S30","H21"
"S30","H26"
"S30","H38"
"S30","H39"
"S32","H21"
"S32","H23"
"S32","H39"
"S33","H5"
"S33","H7"
"S33","H21"
"S33","H24"
"S34","H36"
"S35","H7"
"S35","H36"
"S35","H37"
"S36","H33"
"S37","H7"
"S37","H21"
"S37","H23"
"S37","H39"
"S38","H5"
"S38","H21"
"S38","H24"
"S39","H7"
"S40","H18"
"S40","H44"
"S41","H18"
"S41","H44"
"S42","H30"
"S43","H31"
"S44","H11"
"S44","H19"
"S45","H7"
"S46","H7"
"S47","H41"
"S49","H35"
"S49","H40"
"S49","H43"
"S50","H27"
"S52","H25"
"S53","H7"
"S53","H25"
"S54","H7"
"S54","H21"
"S54","H23"
"S54","H38"
"S54","H39"
"S55","H40"
"S55","H43"
"S56","H41"
"S57","H18"
"S57","H44"
"S58","H18"
"S58","H44"
"S59","H23"
"S59","H38"
"S59","H39"
"S60","H7"
"S60","H23"
"S60","H38"
"S60","H39"
"S61","H7"
"S62","H7"
"S64","H7"
"S64","H21"
"S64","H23"
"S64","H38"
"S64","H39"
