"symbiont","host"
"S7","H31"
"S7","H48"
"S11","H17"
"S18","H22"
"S18","H23"
"S20","H2"
"S20","H39"
"S24","H14"
"S24","H25"
"S24","H44"
"S26","H17"
"S26","H18"
"S26","H19"
"S28","H2"
"S30","H17"
"S32","H17"
"S32","H18"
"S32","H19"
"S36","H36"
"S36","H37"
"S37","H36"
"S37","H37"
"S38","H7"
"S39","H42"
"S39","H47"
"S40","H14"
"S40","H17"
"S40","H18"
"S40","H19"
"S40","H25"
"S40","H47"
"S40","H48"
"S42","H14"
"S42","H17"
"S42","H18"
"S42","H19"
"S42","H25"
"S42","H27"
"S42","H42"
"S46","H18"
"S46","H19"
"S46","H25"
"S46","H27"
"S47","H17"
"S47","H18"
"S50","H18"
"S50","H42"
"S51","H42"
"S51","H47"
"S51","H48"
"S52","H17"
"S52","H19"
"S52","H42"
"S52","H48"
"S53","H3"
"S53","H24"
"S53","H35"
"S54","H34"
"S55","H2"
"S56","H17"
"S56","H31"
"S57","H17"
"S57","H31"
"S57","H43"
"S57","H47"
"S57","H48"
"S58","H3"
"S59","H2"
"S59","H38"
"S60","H2"
"S60","H38"
"S61","H14"
"S61","H17"
"S61","H18"
"S61","H25"
"S61","H48"
"S62","H14"
"S62","H17"
"S62","H18"
"S62","H25"
"S62","H47"
"S62","H48"
"S63","H17"
"S63","H18"
"S63","H19"
"S64","H17"
"S64","H18"
"S64","H19"
"S65","H17"
"S65","H19"
"S65","H43"
"S65","H47"
"S66","H3"
"S66","H17"
"S66","H19"
"S66","H42"
"S66","H47"
"S67","H14"
"S67","H17"
"S67","H28"
"S67","H43"
"S68","H42"
"S68","H47"
"S68","H48"
"S69","H43"
"S70","H44"
"S70","H47"
"S70","H48"
"S71","H17"
"S71","H19"
"S72","H3"
"S72","H17"
"S72","H19"
"S73","H39"
"S73","H45"
"S75","H34"
"S76","H3"
"S76","H34"
"S77","H29"
"S78","H29"
"S79","H2"
"S80","H3"
"S81","H34"
"S82","H34"
