"symbiont","host"
"S6","H6"
"S6","H37"
"S6","H38"
"S16","H36"
"S26","H6"
"S29","H25"
"S30","H37"
"S35","H10"
"S37","H25"
"S40","H36"
"S43","H11"
"S43","H13"
"S45","H33"
"S45","H34"
"S48","H20"
"S50","H29"
"S51","H22"
"S51","H31"
"S52","H23"
"S53","H27"
"S53","H38"
"S55","H25"
"S56","H25"
"S56","H27"
"S56","H37"
"S56","H38"
"S57","H22"
"S58","H22"
"S59","H24"
"S59","H31"
"S62","H27"
"S62","H37"
"S62","H38"
"S64","H30"
"S65","H25"
"S66","H36"
"S67","H20"
"S67","H35"
"S68","H20"
"S68","H35"
"S69","H25"
"S70","H6"
"S71","H35"
"S72","H6"
"S74","H6"
"S75","H6"
"S75","H39"
"S76","H40"
"S77","H24"
"S77","H31"
"S78","H6"
"S78","H24"
"S78","H31"
