"symbiont","host"
"S13","H28"
"S13","H37"
"S13","H55"
"S31","H19"
"S31","H26"
"S31","H29"
"S32","H63"
"S33","H61"
"S34","H28"
"S34","H34"
"S34","H35"
"S34","H37"
"S34","H47"
"S34","H55"
"S34","H56"
"S35","H20"
"S36","H20"
"S37","H20"
"S38","H45"
"S39","H31"
"S39","H39"
"S40","H20"
"S40","H36"
"S40","H62"
"S41","H20"
"S41","H36"
"S41","H62"
"S41","H63"
"S45","H45"
"S45","H62"
"S45","H63"
"S46","H44"
"S47","H45"
"S48","H74"
"S49","H8"
"S49","H74"
"S50","H36"
"S50","H62"
"S50","H63"
"S52","H34"
"S52","H37"
"S52","H46"
"S52","H55"
"S52","H56"
"S53","H20"
"S53","H36"
"S53","H62"
"S53","H63"
"S54","H20"
"S54","H36"
"S54","H62"
"S54","H63"
"S56","H20"
"S56","H57"
"S59","H20"
"S59","H36"
"S59","H62"
"S60","H8"
"S60","H20"
"S60","H36"
"S60","H63"
"S61","H11"
"S61","H52"
"S62","H11"
"S62","H52"
"S63","H11"
"S63","H53"
"S64","H54"
"S65","H8"
"S65","H28"
"S65","H35"
"S65","H47"
"S67","H58"
"S68","H19"
"S68","H36"
"S68","H58"
"S69","H27"
"S70","H8"
"S70","H27"
"S71","H14"
"S72","H8"
"S73","H60"
"S74","H61"
"S76","H4"
"S76","H62"
"S76","H63"
"S77","H20"
"S77","H43"
"S77","H59"
"S78","H8"
"S78","H20"
"S78","H43"
"S78","H59"
"S80","H43"
"S80","H59"
"S80","H62"
"S80","H63"
"S82","H20"
"S84","H36"
"S84","H62"
"S84","H63"
"S85","H8"
"S85","H36"
"S85","H62"
"S85","H63"
"S86","H28"
"S86","H35"
"S86","H47"
"S87","H28"
"S87","H35"
"S87","H47"
"S88","H4"
"S89","H4"
"S90","H41"
"S90","H69"
"S91","H16"
"S92","H8"
"S93","H20"
"S93","H57"
"S94","H8"
"S95","H11"
"S95","H52"
"S96","H4"
"S97","H73"
"S98","H74"
"S99","H70"
"S100","H70"
