134	135
134	136
136	137
136	138
135	139
135	140
137	141
137	142
138	143
138	144
141	94
141	145
142	146
142	147
147	95
147	148
146	96
146	149
139	150
139	151
143	152
143	153
145	154
145	155
150	156
150	97
152	157
152	98
154	158
154	159
151	160
151	1
153	99
153	161
155	100
155	162
160	163
160	164
140	165
140	166
161	101
161	167
144	168
144	2
165	3
165	169
163	170
163	171
156	172
156	4
157	173
157	174
174	102
174	103
172	175
172	176
173	177
173	178
158	179
158	180
171	104
171	105
168	106
168	107
175	181
175	182
177	183
177	184
180	185
180	186
181	187
181	5
183	188
183	189
179	190
179	108
176	109
176	6
178	7
178	110
185	191
185	111
186	112
186	8
162	192
162	193
188	194
188	195
187	113
187	196
194	197
194	198
190	199
190	200
195	201
195	202
189	114
189	203
203	115
203	116
197	204
197	205
170	206
170	207
149	9
149	208
192	209
192	210
208	211
208	10
207	212
207	213
206	214
206	215
191	216
191	11
201	217
201	218
209	12
209	13
166	219
166	14
214	15
214	220
148	117
148	16
199	221
199	222
182	223
182	224
184	118
184	225
222	119
222	120
224	17
224	226
225	227
225	228
196	229
196	230
198	18
198	19
200	20
200	231
202	121
202	232
210	122
210	233
167	123
167	21
233	22
233	23
193	24
193	124
204	234
204	25
221	235
221	26
217	236
217	125
205	237
205	27
218	238
218	126
230	28
230	127
231	29
231	30
232	128
232	239
213	240
213	241
223	242
223	243
169	129
169	31
226	32
226	130
227	33
227	34
241	244
241	245
234	246
234	35
235	247
235	36
236	248
236	249
237	250
237	37
219	251
219	38
238	252
238	253
211	39
211	40
249	131
249	41
229	42
229	43
244	254
244	132
239	44
239	45
243	46
243	47
247	255
247	48
248	256
248	49
252	257
252	50
246	258
246	259
256	260
256	261
257	51
257	52
258	53
258	54
253	55
253	262
260	263
260	56
251	57
251	58
212	264
212	265
159	133
159	59
263	60
263	61
255	62
255	63
250	64
250	65
259	66
259	67
261	68
261	69
242	70
242	71
228	72
228	73
262	74
262	75
216	76
216	77
254	78
254	79
164	80
164	81
245	82
245	83
264	84
264	85
220	86
220	87
240	88
240	89
215	90
215	91
265	92
265	93
