"symbiont","host"
"S1","H9"
"S3","H10"
"S3","H11"
"S12","H10"
"S12","H11"
"S13","H9"
"S13","H13"
"S14","H12"
"S16","H4"
"S17","H11"
"S19","H4"
"S21","H32"
"S23","H9"
"S23","H13"
"S24","H9"
"S24","H13"
"S26","H4"
"S26","H10"
"S26","H11"
"S27","H4"
"S27","H6"
"S27","H10"
"S27","H11"
"S28","H10"
"S28","H11"
"S30","H12"
"S30","H14"
"S31","H12"
"S31","H14"
"S32","H12"
"S32","H14"
"S33","H18"
"S34","H18"
"S35","H22"
"S36","H23"
"S37","H25"
"S38","H12"
"S38","H33"
"S39","H19"
"S40","H19"
"S41","H12"
"S41","H14"
"S42","H12"
"S42","H14"
"S43","H20"
"S44","H20"
"S45","H29"
"S47","H31"
"S49","H13"
"S49","H27"
"S49","H28"
"S49","H33"
"S50","H6"
"S50","H13"
"S50","H27"
"S50","H28"
"S50","H33"
