"symbiont","host"
"S12","H5"
"S15","H5"
"S16","H14"
"S17","H5"
"S19","H18"
"S23","H46"
"S23","H47"
"S24","H5"
"S24","H22"
"S28","H26"
"S29","H25"
"S30","H5"
"S32","H23"
"S34","H5"
"S35","H5"
"S36","H21"
"S36","H28"
"S37","H5"
"S37","H21"
"S37","H28"
"S38","H21"
"S38","H33"
"S41","H34"
"S42","H48"
"S42","H49"
"S43","H5"
"S44","H35"
"S45","H36"
"S46","H45"
"S47","H5"
"S48","H38"
"S49","H39"
"S50","H51"
"S51","H40"
"S52","H41"
"S53","H42"
"S54","H43"
"S55","H44"
"S56","H45"
"S57","H6"
"S57","H17"
"S57","H52"
"S57","H53"
"S58","H6"
"S58","H17"
"S58","H52"
"S59","H24"
"S59","H31"
"S59","H32"
"S60","H5"
"S61","H35"
"S62","H5"
"S63","H5"
"S64","H35"
"S65","H35"
