"symbiont","host"
"S5","H10"
"S7","H5"
"S7","H31"
"S8","H4"
"S8","H11"
"S8","H17"
"S8","H20"
"S9","H11"
"S10","H6"
"S11","H34"
"S12","H26"
"S14","H9"
"S16","H5"
"S16","H28"
"S17","H24"
"S19","H3"
"S19","H18"
"S21","H11"
"S21","H38"
"S22","H12"
"S23","H12"
"S24","H11"
"S24","H37"
"S26","H4"
"S26","H24"
"S27","H28"
"S28","H40"
"S29","H30"
"S31","H11"
"S31","H22"
"S31","H23"
"S31","H38"
"S33","H35"
"S34","H31"
"S35","H5"
"S35","H11"
"S35","H32"
"S36","H5"
"S36","H17"
"S36","H32"
"S37","H5"
"S37","H17"
"S37","H32"
"S37","H36"
"S38","H11"
"S38","H37"
"S39","H11"
"S39","H35"
"S39","H38"
"S40","H20"
"S41","H40"
"S42","H33"
"S43","H34"
"S44","H9"
"S45","H9"
"S45","H35"
"S46","H24"
"S47","H24"
"S48","H35"
"S49","H20"
"S49","H36"
"S50","H11"
"S50","H36"
"S50","H38"
"S51","H4"
"S52","H23"
"S52","H37"
"S53","H11"
"S53","H22"
"S53","H35"
"S53","H38"
"S54","H39"
"S55","H40"
