"symbiont","host"
"S12","H6"
"S12","H7"
"S13","H6"
"S13","H20"
"S14","H20"
"S15","H6"
"S16","H6"
"S20","H25"
"S20","H26"
"S21","H6"
"S21","H20"
"S21","H26"
"S23","H7"
"S23","H29"
"S24","H20"
"S24","H26"
"S27","H13"
"S27","H14"
"S29","H10"
"S32","H31"
"S34","H20"
"S34","H25"
"S34","H26"
"S35","H21"
"S35","H23"
"S35","H24"
"S36","H23"
"S36","H24"
"S37","H21"
"S37","H24"
"S38","H30"
"S40","H25"
"S40","H26"
"S40","H29"
"S41","H2"
"S42","H22"
"S43","H6"
"S43","H20"
"S43","H26"
"S44","H2"
"S44","H27"
"S45","H25"
"S46","H2"
"S46","H25"
"S47","H22"
"S48","H4"
"S48","H22"
"S49","H27"
"S50","H28"
"S51","H31"
"S52","H4"
"S53","H6"
"S53","H29"
"S54","H26"
"S54","H30"
"S55","H6"
"S55","H20"
"S55","H25"
"S56","H4"
"S57","H31"
"S58","H32"
