"symbiont","host"
"S2","H11"
"S8","H15"
"S10","H14"
"S10","H21"
"S13","H8"
"S17","H12"
"S18","H13"
"S19","H22"
"S21","H2"
"S21","H3"
"S21","H11"
"S22","H2"
"S22","H3"
"S22","H11"
"S23","H10"
"S24","H15"
"S25","H2"
"S25","H15"
"S26","H3"
"S26","H10"
"S27","H3"
"S27","H10"
"S28","H1"
"S28","H2"
"S28","H3"
"S28","H11"
"S29","H1"
"S29","H2"
"S29","H3"
"S29","H11"
"S30","H10"
"S31","H10"
"S32","H10"
"S33","H1"
"S33","H9"
"S33","H18"
"S34","H20"
"S35","H9"
"S35","H20"
"S36","H21"
"S37","H22"
"S38","H1"
"S38","H19"
"S39","H2"
