parasite_leaf:,host_leaf
P32,H12
P32,H17
P33,H16
P122,H54
P123,H55
P59,H27
P47,H22
P104,H32
P104,H46
P105,H32
P105,H47
P194,H86
P195,H87
P129,H59
P119,H53
P30,H8
P30,H11
P31,H8
P31,H11
P37,H8
P37,H10
P160,H34
P161,H34
P81,H35
P92,H37
P92,H41
P134,H60
P135,H61
P117,H51
P143,H36
P143,H65
P142,H64
P190,H84
P191,H85
P163,H72
P101,H45
P137,H38
P137,H63
P136,H62
P198,H88
P199,H89
P43,H18
P43,H21
P39,H19
P186,H82
P187,H83
P177,H77
P97,H42
P170,H74
P171,H75
P155,H71
P147,H67
P99,H28
P99,H42
P188,H82
P189,H83
P179,H77
P172,H74
P173,H75
P157,H71
P149,H67
P35,H12
P35,H16
P182,H80
P183,H81
P181,H79
P124,H54
P125,H55
P61,H27
P49,H22
P106,H46
P107,H47
P196,H86
P197,H87
P131,H59
P121,H53
P78,H34
P79,H35
P112,H48
P113,H49
P158,H61
P159,H61
P132,H60
P115,H51
P166,H65
P167,H65
P140,H64
P109,H8
P109,H11
P108,H11
P103,H39
P103,H45
P192,H84
P193,H85
P165,H72
P138,H62
P139,H63
P73,H20
P73,H31
P150,H68
P151,H69
P127,H56
P41,H14
P41,H19
P110,H42
P111,H42
P184,H82
P185,H83
P175,H77
P168,H74
P169,H75
P153,H71
P145,H67
P64,H15
P64,H28
P65,H15
P65,H29
P3,H3
