parasite_leaf:,host_leaf
P84,H35
P85,H35
P60,H34
P96,H50
P97,H51
P25,H13
P21,H6
P21,H11
P43,H7
P43,H18
P110,H49
P111,H49
P90,H48
P92,H48
P93,H49
P77,H42
P106,H56
P107,H57
P39,H19
P116,H55
P117,H55
P102,H54
P104,H54
P105,H55
P47,H25
P45,H22
P40,H20
P41,H21
P35,H17
P29,H9
P29,H14
P112,H29
P113,H29
P50,H28
P74,H40
P75,H41
P114,H58
P115,H59
P83,H46
P32,H10
P32,H12
P62,H34
P63,H35
P64,H34
P65,H35
P55,H12
P55,H31
P27,H10
P27,H13
P88,H11
P89,H11
P15,H4
P15,H7
P11,H3
P11,H5
P36,H15
P36,H16
P37,H15
P37,H17
P79,H38
P79,H45
P78,H44
P98,H52
P99,H53
P80,H38
P80,H44
P81,H45
P109,H54
P108,H52
P101,H53
P19,H2
P19,H8
