parasite_leaf:,host_leaf
P136,H88
P137,H89
P15,H15
P63,H9
P63,H11
P124,H80
P125,H81
P105,H71
P122,H80
P123,H81
P103,H71
P120,H80
P121,H81
P101,H71
P75,H9
P75,H11
P126,H80
P127,H81
P107,H71
P48,H46
P49,H47
P82,H60
P83,H61
P67,H53
P37,H36
P92,H55
P93,H55
P72,H54
P112,H74
P113,H75
P114,H74
P115,H75
P33,H32
P116,H76
P117,H77
P53,H48
P31,H30
P29,H29
P25,H24
P70,H20
P70,H51
P118,H78
P119,H79
P61,H50
P134,H86
P135,H87
P129,H83
P50,H45
P51,H45
P80,H58
P81,H59
P88,H64
P89,H65
P90,H64
P91,H65
P85,H62
P78,H34
P79,H34
P94,H66
P95,H67
P138,H90
P139,H91
P45,H42
P68,H2
P68,H40
P99,H40
P99,H68
P132,H84
P133,H85
P111,H72
P130,H84
P131,H85
P109,H72
P97,H68
P43,H41
