parasite_leaf:,host_leaf
P12,H6
P12,H13
P13,H12
P15,H8
P15,H10
P52,H24
P53,H24
P72,H32
P73,H33
P63,H23
P55,H29
P33,H18
P70,H32
P71,H33
P74,H29
P75,H29
P50,H22
P41,H23
P26,H11
P64,H11
P65,H22
P28,H11
P48,H26
P49,H27
P114,H40
P115,H37
P99,H41
P80,H30
P67,H31
P43,H15
P43,H23
P42,H15
P42,H22
P100,H40
P101,H12
P112,H41
P113,H24
P103,H19
P103,H24
P102,H14
P38,H3
P38,H21
P104,H42
P105,H43
P87,H38
P23,H14
P78,H18
P79,H18
P110,H42
P111,H43
P93,H38
P108,H42
P109,H43
P91,H38
P106,H42
P107,H43
P89,H38
P83,H23
P82,H35
P84,H36
P85,H37
P94,H13
P94,H40
P95,H41
P17,H11
