parasite_leaf:,host_leaf
P79,H23
P79,H26
P123,H34
P123,H53
P122,H52
P90,H44
P91,H45
P142,H53
P143,H26
P124,H52
P126,H41
P127,H41
P64,H19
P87,H36
P87,H43
P86,H42
P68,H33
P76,H38
P77,H39
P21,H12
P21,H19
P100,H48
P101,H49
P81,H41
P146,H28
P147,H28
P88,H44
P89,H45
P120,H52
P121,H53
P71,H33
P70,H11
P134,H54
P135,H54
P133,H55
P7,H6
P106,H43
P107,H47
P84,H42
P94,H46
P95,H47
P136,H26
P137,H26
P97,H37
P97,H47
P96,H46
P73,H11
P116,H50
P117,H51
P104,H43
P98,H43
P82,H42
P119,H37
P119,H47
P118,H25
P109,H20
P145,H55
P144,H25
P131,H25
P44,H22
P44,H25
P35,H25
P63,H12
P63,H19
P62,H27
P112,H26
P113,H26
P103,H40
P103,H49
P102,H48
P138,H20
P139,H20
P75,H32
P75,H39
P74,H38
P51,H33
P114,H50
P115,H51
P140,H56
P141,H57
P17,H8
P17,H13
P16,H10
P129,H33
P128,H11
