parasite_leaf:,host_leaf
P40,H6
P40,H10
P82,H18
P83,H19
P27,H5
P27,H7
P76,H16
P77,H17
P42,H6
P42,H11
P67,H10
P67,H15
P164,H22
P165,H12
P127,H22
P162,H26
P163,H29
P149,H27
P135,H25
P91,H2
P91,H17
P90,H19
P88,H18
P144,H26
P145,H27
P131,H25
P109,H14
P109,H22
P61,H15
P154,H28
P155,H29
P156,H28
P157,H29
P50,H12
P51,H13
P140,H21
P141,H21
P100,H20
P102,H8
P102,H20
P166,H21
P167,H17
P119,H20
P118,H21
P98,H20
P150,H26
P151,H27
P137,H25
P120,H17
P74,H16
P84,H18
P85,H19
P122,H18
P123,H18
P87,H19
P142,H26
P143,H27
P129,H25
P107,H22
P59,H15
P153,H7
P153,H29
P152,H28
P31,H4
P31,H8
P93,H15
P92,H13
P71,H13
P48,H9
P48,H12
P78,H10
P78,H14
P160,H21
P161,H21
P104,H20
P94,H5
P94,H7
P63,H10
P63,H15
P146,H26
P147,H27
P133,H23
P133,H25
P111,H22
P65,H15
P114,H18
P115,H16
P138,H19
P139,H19
P169,H25
P168,H28
P159,H29
P125,H16
P46,H12
P47,H13
P96,H20
P97,H21
P72,H16
P73,H17
