parasite_leaf:,host_leaf
P17,H2
P17,H4
P112,H56
P113,H57
P71,H42
P33,H22
P108,H42
P109,H42
P98,H42
P89,H23
P89,H42
P110,H56
P111,H57
P31,H22
P106,H54
P107,H55
P103,H50
P35,H4
P35,H22
P114,H56
P115,H57
P73,H42
P116,H56
P117,H57
P75,H42
P77,H21
P77,H41
P76,H22
P118,H10
P119,H10
P40,H10
P104,H52
P105,H53
P61,H39
P136,H66
P137,H67
P124,H60
P125,H61
P93,H42
P79,H44
P138,H68
P139,H69
P101,H40
P95,H22
P45,H29
P134,H64
P135,H65
P55,H36
P82,H46
P83,H47
P126,H48
P126,H62
P127,H63
P85,H49
P128,H62
P129,H63
P87,H49
P66,H14
P67,H14
P62,H14
P122,H58
P123,H59
P140,H63
P141,H63
P130,H62
P120,H58
P121,H59
P59,H8
P59,H24
P132,H20
P133,H20
P80,H24
P39,H25
P90,H41
P91,H41
P64,H40
P29,H20
